Name,Variation,Body Title,Pattern,Pattern Title,DIY,Body Customize,Pattern Customize,Pattern Customize Options,Kit Cost,Kit Type,Cyrus Customize Price,Buy,Sell,Color 1,Color 2,Size,Surface,Exchange Price,Exchange Currency,Source,Season/Event,Season/Event Exclusive,HHA Base Points,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,HHA Category,Tag,Version Added,Unique Entry ID
antique cash register,Gold,Color,NA,NA,No,No,No,NA,NA,None,5200,21000,5250,Yellow,Yellow,1x1,No,18900,Poki,Nook's Cranny; HHP Office,NA,NA,103,retro,shop,None,None,None,Shop,2.0.0,MyCi9SoKZRJ5AHFZM
antique cash register,Silver,Color,NA,NA,No,No,No,NA,NA,None,5200,21000,5250,Gray,Gray,1x1,No,18900,Poki,Nook's Cranny; HHP Office,NA,NA,103,retro,shop,None,None,None,Shop,2.0.0,93jYiazwyv8maeqhb
antique cash register,Copper,Color,NA,NA,No,No,No,NA,NA,None,5200,21000,5250,Brown,Brown,1x1,No,18900,Poki,Nook's Cranny; HHP Office,NA,NA,103,retro,shop,None,None,None,Shop,2.0.0,EkXmjZAZLfP4BwhXR
antique cash register,Black,Color,NA,NA,No,No,No,NA,NA,None,5200,21000,5250,Black,Black,1x1,No,18900,Poki,Nook's Cranny; HHP Office,NA,NA,103,retro,shop,None,None,None,Shop,2.0.0,gQwXjDKpBAQsuT8Nf
antique cash register,White,Color,NA,NA,No,No,No,NA,NA,None,5200,21000,5250,White,White,1x1,No,18900,Poki,Nook's Cranny; HHP Office,NA,NA,103,retro,shop,None,None,None,Shop,2.0.0,JDFQcqPuqjqad7yNN
antique map,NA,NA,Treasure map,Variation,No,No,Yes,Default,7,Normal,5200,31000,7750,Orange,Red,1x1,No,27900,Poki,Nook's Cranny; HHP Office,NA,NA,103,den,retro,None,None,None,Study,2.0.0,A8Ftvf5EwZ8RPHDkw
antique map,NA,NA,Ship-route map,Variation,No,No,Yes,Default,7,Normal,5200,31000,7750,Beige,Brown,1x1,No,27900,Poki,Nook's Cranny; HHP Office,NA,NA,103,den,retro,None,None,None,Study,2.0.0,vQAWuoSvHpzpQqkNC
antique map,NA,NA,World map,Variation,No,No,Yes,Default,7,Normal,5200,31000,7750,Aqua,Yellow,1x1,No,27900,Poki,Nook's Cranny; HHP Office,NA,NA,103,den,retro,None,None,None,Study,2.0.0,ZSzKi8JfyEPw3CBTf
antique radio,Brown,Color,NA,NA,No,No,No,NA,NA,None,3800,13000,3250,Brown,Brown,1x1,No,11700,Poki,Nook's Cranny; HHP Office,NA,NA,103,retro,expensive,antique,None,Audio,Audio,2.0.0,56Gg6MuiA6hmTE2kt
antique radio,Natural,Color,NA,NA,No,No,No,NA,NA,None,3800,13000,3250,Orange,Orange,1x1,No,11700,Poki,Nook's Cranny; HHP Office,NA,NA,103,retro,expensive,antique,None,Audio,Audio,2.0.0,XA9Pu3StKjzKSMqJE
antique radio,Black,Color,NA,NA,No,No,No,NA,NA,None,3800,13000,3250,Black,Black,1x1,No,11700,Poki,Nook's Cranny; HHP Office,NA,NA,103,retro,expensive,antique,None,Audio,Audio,2.0.0,NyLLrbcm4AfLSqQzC
apple jam,NA,NA,NA,NA,Yes,No,No,NA,NA,None,NA,NFS,450,Red,White,1x1,No,NA,NA,Cooking,NA,NA,103,kitchen,shop,None,None,Food,DishFood,2.0.0,3kB7rDnaWJ86f8Cav
apple jelly,NA,NA,NA,NA,Yes,No,No,NA,NA,None,NA,NFS,300,Yellow,Gray,1x1,No,NA,NA,Cooking,NA,NA,103,café,party,None,None,Food,DishFood,2.0.0,TBuy7BsAGZosfRjr6
apple pie,NA,NA,NA,NA,Yes,No,No,NA,NA,None,NA,NFS,1880,Beige,White,1x1,No,NA,NA,Cooking,NA,NA,103,party,shop,None,None,Food,DishFood,2.0.0,megLzZbneK5inTWC9
apple smoothie,NA,NA,NA,NA,Yes,No,No,NA,NA,None,NA,NFS,300,Yellow,Red,1x1,No,NA,NA,Cooking,NA,NA,103,café,restaurant,None,None,None,DishDrink,2.0.0,qKqba8bLn4GSD2R68
apple tart,NA,NA,NA,NA,Yes,No,No,NA,NA,None,NA,NFS,780,Beige,White,1x1,No,NA,NA,Cooking,NA,NA,103,café,party,None,None,Food,DishFood,2.0.0,TJfrTGkfvZBDmKzmf
arapaima model,NA,NA,NA,NA,No,No,No,NA,NA,None,NA,NFS,30000,Black,Black,2x1,No,NA,NA,C.J.,NA,NA,251,None,None,None,None,None,Fish,1.0.0,mYrf2qXTygc8GphQC
aroma pot,White,Color,NA,NA,Yes,Yes,No,NA,1,Normal,1000,NFS,600,White,Aqua,1x1,No,NA,NA,Crafting,NA,NA,103,living room,stylish,None,None,SmallGoods,Shop,1.0.0,6AqmYqJXkqoYTfJej
aroma pot,Brown,Color,NA,NA,Yes,Yes,No,NA,1,Normal,1000,NFS,600,Brown,Orange,1x1,No,NA,NA,Crafting,NA,NA,103,living room,stylish,None,None,SmallGoods,Shop,1.0.0,kv6phyzaTZRerstP4
aroma pot,Green,Color,NA,NA,Yes,Yes,No,NA,1,Normal,1000,NFS,600,Green,Green,1x1,No,NA,NA,Crafting,NA,NA,103,living room,stylish,None,None,SmallGoods,Shop,1.0.0,QQLoouuttf58T3ufJ
aroma pot,Pink,Color,NA,NA,Yes,Yes,No,NA,1,Normal,1000,NFS,600,Pink,Pink,1x1,No,NA,NA,Crafting,NA,NA,103,living room,stylish,None,None,SmallGoods,Shop,1.0.0,tLn4NcyuPmuHXgKn8
aroma pot,Cream,Color,NA,NA,Yes,Yes,No,NA,1,Normal,1000,NFS,600,Beige,Green,1x1,No,NA,NA,Crafting,NA,NA,103,living room,stylish,None,None,SmallGoods,Shop,1.0.0,5RFavNA2iBfAcQCK4
aroma pot,Black,Color,NA,NA,Yes,Yes,No,NA,1,Normal,1000,NFS,600,Black,Blue,1x1,No,NA,NA,Crafting,NA,NA,103,living room,stylish,None,None,SmallGoods,Shop,1.0.0,YZgdtQSYDiw8TTXzJ
arowana model,NA,NA,NA,NA,No,No,No,NA,NA,None,NA,NFS,30000,Yellow,Black,1x1,No,NA,NA,C.J.,NA,NA,251,None,None,None,None,None,Fish,1.0.0,SeSQEP9r8f4ZH3ZgP
Baby bear,Cream,Design,None,Shirt,No,No,Yes,Default; Custom; Sable,1,Normal,1000,1800,450,Beige,White,1x1,No,1600,Poki,Nook's Cranny,NA,NA,103,fancy,child's room,None,bear,Doll,Animal,1.0.0,g2XmJfB8pFYwRq9F6
Baby bear,Cream,Design,Heart,Shirt,No,No,Yes,Default; Custom; Sable,1,Normal,1000,1800,450,Beige,Red,1x1,No,1600,Poki,Nook's Cranny,NA,NA,103,fancy,child's room,None,bear,Doll,Animal,1.0.0,SSKzzn4PKuGQwr2pL
Baby bear,Cream,Design,Fish,Shirt,No,No,Yes,Default; Custom; Sable,1,Normal,1000,1800,450,Beige,Blue,1x1,No,1600,Poki,Nook's Cranny,NA,NA,103,fancy,child's room,None,bear,Doll,Animal,1.0.0,36HzWPnuJQGP8dQ3J
Baby bear,Cream,Design,Star,Shirt,No,No,Yes,Default; Custom; Sable,1,Normal,1000,1800,450,Beige,Yellow,1x1,No,1600,Poki,Nook's Cranny,NA,NA,103,fancy,child's room,None,bear,Doll,Animal,1.0.0,ejuF7sTa4N64k8AD9
Baby bear,Caramel mocha,Design,None,Shirt,No,No,Yes,Default; Custom; Sable,1,Normal,1000,1800,450,Beige,Beige,1x1,No,1600,Poki,Nook's Cranny,NA,NA,103,fancy,child's room,None,bear,Doll,Animal,1.0.0,pkRq4pGLsBgZJs6Zz
Baby bear,Caramel mocha,Design,Heart,Shirt,No,No,Yes,Default; Custom; Sable,1,Normal,1000,1800,450,Beige,Red,1x1,No,1600,Poki,Nook's Cranny,NA,NA,103,fancy,child's room,None,bear,Doll,Animal,1.0.0,vXLCKkgzYCK7KQjgp
Baby bear,Caramel mocha,Design,Fish,Shirt,No,No,Yes,Default; Custom; Sable,1,Normal,1000,1800,450,Beige,Blue,1x1,No,1600,Poki,Nook's Cranny,NA,NA,103,fancy,child's room,None,bear,Doll,Animal,1.0.0,GvyMQSw6Y7dAssqLE
Baby bear,Caramel mocha,Design,Star,Shirt,No,No,Yes,Default; Custom; Sable,1,Normal,1000,1800,450,Beige,Yellow,1x1,No,1600,Poki,Nook's Cranny,NA,NA,103,fancy,child's room,None,bear,Doll,Animal,1.0.0,B85z59MD8h7M9Ctrk
Baby bear,Choco,Design,None,Shirt,No,No,Yes,Default; Custom; Sable,1,Normal,1000,1800,450,Brown,Brown,1x1,No,1600,Poki,Nook's Cranny,NA,NA,103,fancy,child's room,None,bear,Doll,Animal,1.0.0,2T9YQNT5fZytrqrwK
Baby bear,Choco,Design,Heart,Shirt,No,No,Yes,Default; Custom; Sable,1,Normal,1000,1800,450,Brown,Red,1x1,No,1600,Poki,Nook's Cranny,NA,NA,103,fancy,child's room,None,bear,Doll,Animal,1.0.0,CD9XqwhPSre2zzNjX
Baby bear,Choco,Design,Fish,Shirt,No,No,Yes,Default; Custom; Sable,1,Normal,1000,1800,450,Brown,Blue,1x1,No,1600,Poki,Nook's Cranny,NA,NA,103,fancy,child's room,None,bear,Doll,Animal,1.0.0,ZKQ8SQtNRXhQ63ANr
Baby bear,Choco,Design,Star,Shirt,No,No,Yes,Default; Custom; Sable,1,Normal,1000,1800,450,Brown,Yellow,1x1,No,1600,Poki,Nook's Cranny,NA,NA,103,fancy,child's room,None,bear,Doll,Animal,1.0.0,muwwSKJHXGAeCmPEb
Baby bear,Floral,Design,None,Shirt,No,No,Yes,Default; Custom; Sable,1,Normal,1000,1800,450,Blue,Pink,1x1,No,1600,Poki,Nook's Cranny,NA,NA,103,fancy,child's room,None,bear,Doll,Animal,1.0.0,iC6uke9rdu6nFFZ9G
Baby bear,Floral,Design,Heart,Shirt,No,No,Yes,Default; Custom; Sable,1,Normal,1000,1800,450,Blue,Red,1x1,No,1600,Poki,Nook's Cranny,NA,NA,103,fancy,child's room,None,bear,Doll,Animal,1.0.0,JgZfkc4k6nyjwjv9Q
Baby bear,Floral,Design,Fish,Shirt,No,No,Yes,Default; Custom; Sable,1,Normal,1000,1800,450,Blue,Blue,1x1,No,1600,Poki,Nook's Cranny,NA,NA,103,fancy,child's room,None,bear,Doll,Animal,1.0.0,hycjnzbvHSdCXcCSJ
Baby bear,Floral,Design,Star,Shirt,No,No,Yes,Default; Custom; Sable,1,Normal,1000,1800,450,Blue,Yellow,1x1,No,1600,Poki,Nook's Cranny,NA,NA,103,fancy,child's room,None,bear,Doll,Animal,1.0.0,mjwTqXDWN6TXNtLoR
Baby bear,Checkered,Design,None,Shirt,No,No,Yes,Default; Custom; Sable,1,Normal,1000,1800,450,Yellow,White,1x1,No,1600,Poki,Nook's Cranny,NA,NA,103,fancy,child's room,None,bear,Doll,Animal,1.0.0,QJqqQh5tQR59LFLXP
Baby bear,Checkered,Design,Heart,Shirt,No,No,Yes,Default; Custom; Sable,1,Normal,1000,1800,450,Yellow,Red,1x1,No,1600,Poki,Nook's Cranny,NA,NA,103,fancy,child's room,None,bear,Doll,Animal,1.0.0,qBvYFruEFNxRRm4qF
Baby bear,Checkered,Design,Fish,Shirt,No,No,Yes,Default; Custom; Sable,1,Normal,1000,1800,450,Yellow,Blue,1x1,No,1600,Poki,Nook's Cranny,NA,NA,103,fancy,child's room,None,bear,Doll,Animal,1.0.0,pfbzHggDW8rLZyySF
Baby bear,Checkered,Design,Star,Shirt,No,No,Yes,Default; Custom; Sable,1,Normal,1000,1800,450,Yellow,Yellow,1x1,No,1600,Poki,Nook's Cranny,NA,NA,103,fancy,child's room,None,bear,Doll,Animal,1.0.0,5uqwwqA6dMAhQFpmm
Baby bear,Tweed,Design,None,Shirt,No,No,Yes,Default; Custom; Sable,1,Normal,1000,1800,450,Colorful,Colorful,1x1,No,1600,Poki,Nook's Cranny,NA,NA,103,fancy,child's room,None,bear,Doll,Animal,1.0.0,nPchvcMPNmZ7eDKJJ
Baby bear,Tweed,Design,Heart,Shirt,No,No,Yes,Default; Custom; Sable,1,Normal,1000,1800,450,Colorful,Red,1x1,No,1600,Poki,Nook's Cranny,NA,NA,103,fancy,child's room,None,bear,Doll,Animal,1.0.0,mgSKedtr9Lk4NTaWL
Baby bear,Tweed,Design,Fish,Shirt,No,No,Yes,Default; Custom; Sable,1,Normal,1000,1800,450,Colorful,Blue,1x1,No,1600,Poki,Nook's Cranny,NA,NA,103,fancy,child's room,None,bear,Doll,Animal,1.0.0,goji34uBiXDRhjkSv
Baby bear,Tweed,Design,Star,Shirt,No,No,Yes,Default; Custom; Sable,1,Normal,1000,1800,450,Colorful,Yellow,1x1,No,1600,Poki,Nook's Cranny,NA,NA,103,fancy,child's room,None,bear,Doll,Animal,1.0.0,qjt78GA8vEf5xDW5W
Baby panda,NA,NA,NA,NA,No,No,No,NA,NA,None,NA,1800,450,Green,White,1x1,No,1600,Poki,Nook's Cranny,NA,NA,103,fancy,child's room,None,panda,Doll,Animal,1.0.0,TrjKcMrQXJf7NCbta
backlit sign,Black,Frame,ON AIR,Text,No,No,Yes,Default; Custom,3,Normal,2400,7260,1815,Black,Red,1x1,No,6500,Poki,Nook's Cranny; HHP Office,NA,NA,103,None,None,None,None,None,Lamp,2.0.0,pQZX6iBwFME7QkHms
backlit sign,Black,Frame,OPEN,Text,No,No,Yes,Default; Custom,3,Normal,2400,7260,1815,Black,Green,1x1,No,6500,Poki,Nook's Cranny; HHP Office,NA,NA,103,None,None,None,None,None,Lamp,2.0.0,4NdtAzSBp44TzF8dq
backlit sign,Black,Frame,CLOSED,Text,No,No,Yes,Default; Custom,3,Normal,2400,7260,1815,Black,Red,1x1,No,6500,Poki,Nook's Cranny; HHP Office,NA,NA,103,None,None,None,None,None,Lamp,2.0.0,8vM9XMAxfQiNLJbDC
backlit sign,Black,Frame,WELCOME,Text,No,No,Yes,Default; Custom,3,Normal,2400,7260,1815,Black,Blue,1x1,No,6500,Poki,Nook's Cranny; HHP Office,NA,NA,103,None,None,None,None,None,Lamp,2.0.0,SB3ndtQvS6rBsqG3H
backlit sign,Black,Frame,VIP,Text,No,No,Yes,Default; Custom,3,Normal,2400,7260,1815,Black,Yellow,1x1,No,6500,Poki,Nook's Cranny; HHP Office,NA,NA,103,None,None,None,None,None,Lamp,2.0.0,gP3aAonPaDEEdfBuz
backlit sign,Black,Frame,DANGER,Text,No,No,Yes,Default; Custom,3,Normal,2400,7260,1815,Black,Yellow,1x1,No,6500,Poki,Nook's Cranny; HHP Office,NA,NA,103,None,None,None,None,None,Lamp,2.0.0,Ks8sekn3uT9QN2Bbq
backlit sign,Black,Frame,Shiyouchu (In use),Text,No,No,Yes,Default; Custom,3,Normal,2400,7260,1815,Black,Red,1x1,No,6500,Poki,Nook's Cranny; HHP Office,NA,NA,103,None,None,None,None,None,Lamp,2.0.0,JFwdzcKscgnYPhNFC
backlit sign,Black,Frame,Sagyouchu (Working),Text,No,No,Yes,Default; Custom,3,Normal,2400,7260,1815,Black,Green,1x1,No,6500,Poki,Nook's Cranny; HHP Office,NA,NA,103,None,None,None,None,None,Lamp,2.0.0,jLb6Zned7Gi7ojvqB
backlit sign,Silver,Frame,ON AIR,Text,No,No,Yes,Default; Custom,3,Normal,2400,7260,1815,Gray,Red,1x1,No,6500,Poki,Nook's Cranny; HHP Office,NA,NA,103,None,None,None,None,None,Lamp,2.0.0,rku6qk9Qy5tZEt7KW
backlit sign,Silver,Frame,OPEN,Text,No,No,Yes,Default; Custom,3,Normal,2400,7260,1815,Gray,Green,1x1,No,6500,Poki,Nook's Cranny; HHP Office,NA,NA,103,None,None,None,None,None,Lamp,2.0.0,fBTgwBzX2LDXP2uqq
backlit sign,Silver,Frame,CLOSED,Text,No,No,Yes,Default; Custom,3,Normal,2400,7260,1815,Gray,Red,1x1,No,6500,Poki,Nook's Cranny; HHP Office,NA,NA,103,None,None,None,None,None,Lamp,2.0.0,2jBbSufGYkmZ5HqXr
backlit sign,Silver,Frame,WELCOME,Text,No,No,Yes,Default; Custom,3,Normal,2400,7260,1815,Gray,Blue,1x1,No,6500,Poki,Nook's Cranny; HHP Office,NA,NA,103,None,None,None,None,None,Lamp,2.0.0,dpgxd4Y4h8sQfNX2d
backlit sign,Silver,Frame,VIP,Text,No,No,Yes,Default; Custom,3,Normal,2400,7260,1815,Gray,Yellow,1x1,No,6500,Poki,Nook's Cranny; HHP Office,NA,NA,103,None,None,None,None,None,Lamp,2.0.0,hwGhnGKd9Ney8wBHo
backlit sign,Silver,Frame,DANGER,Text,No,No,Yes,Default; Custom,3,Normal,2400,7260,1815,Gray,Yellow,1x1,No,6500,Poki,Nook's Cranny; HHP Office,NA,NA,103,None,None,None,None,None,Lamp,2.0.0,LxvCdh9W2Gb667ikp
backlit sign,Silver,Frame,Shiyouchu (In use),Text,No,No,Yes,Default; Custom,3,Normal,2400,7260,1815,Gray,Red,1x1,No,6500,Poki,Nook's Cranny; HHP Office,NA,NA,103,None,None,None,None,None,Lamp,2.0.0,5Lb4nCfSPctJWAtwc
backlit sign,Silver,Frame,Sagyouchu (Working),Text,No,No,Yes,Default; Custom,3,Normal,2400,7260,1815,Gray,Green,1x1,No,6500,Poki,Nook's Cranny; HHP Office,NA,NA,103,None,None,None,None,None,Lamp,2.0.0,xaj9W3RXXCRZncyXw
backlit sign,White,Frame,ON AIR,Text,No,No,Yes,Default; Custom,3,Normal,2400,7260,1815,White,Red,1x1,No,6500,Poki,Nook's Cranny; HHP Office,NA,NA,103,None,None,None,None,None,Lamp,2.0.0,x6ha6MhzKDfEK5Ari
backlit sign,White,Frame,OPEN,Text,No,No,Yes,Default; Custom,3,Normal,2400,7260,1815,White,Green,1x1,No,6500,Poki,Nook's Cranny; HHP Office,NA,NA,103,None,None,None,None,None,Lamp,2.0.0,3uzKLSv2fW7Z4aRor
backlit sign,White,Frame,CLOSED,Text,No,No,Yes,Default; Custom,3,Normal,2400,7260,1815,White,Red,1x1,No,6500,Poki,Nook's Cranny; HHP Office,NA,NA,103,None,None,None,None,None,Lamp,2.0.0,GazC7CJCjeF6wZ3pJ
