Name,Variation,Body Title,Pattern,Pattern Title,DIY,Body Customize,Pattern Customize,Pattern Customize Options,Cyrus Customize Price,Buy,Sell,Color 1,Color 2,Size,Surface,Exchange Price,Exchange Currency,Source,Season/Event,Season/Event Exclusive,HHA Base Points,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,HHA Category,Interact,Tag,Outdoor,Speaker Type,Lighting Type,Catalog,Version Added
anchor statue,Silver,Color,NA,NA,No,Yes,No,NA,1700,NFS,1400,Gray,Beige,1x1,No,NA,NA,C.J.,Fishing Tourney (Spring); Fishing Tourney (Summer); Fishing Tourney (Fall); Fishing Tourney (Winter),Yes,501,ocean,None,None,None,None,No,Seaside,Yes,Does not play music,No lighting,Not for sale,1.0.0
anchor statue,Gold,Color,NA,NA,No,Yes,No,NA,1700,NFS,1400,Brown,Beige,1x1,No,NA,NA,C.J.,Fishing Tourney (Spring); Fishing Tourney (Summer); Fishing Tourney (Fall); Fishing Tourney (Winter),Yes,501,ocean,None,None,None,None,No,Seaside,Yes,Does not play music,No lighting,Not for sale,1.0.0
anchor statue,White,Color,NA,NA,No,Yes,No,NA,1700,NFS,1400,White,Beige,1x1,No,NA,NA,C.J.,Fishing Tourney (Spring); Fishing Tourney (Summer); Fishing Tourney (Fall); Fishing Tourney (Winter),Yes,501,ocean,None,None,None,None,No,Seaside,Yes,Does not play music,No lighting,Not for sale,1.0.0
anchor statue,Blue,Color,NA,NA,No,Yes,No,NA,1700,NFS,1400,Blue,White,1x1,No,NA,NA,C.J.,Fishing Tourney (Spring); Fishing Tourney (Summer); Fishing Tourney (Fall); Fishing Tourney (Winter),Yes,501,ocean,None,None,None,None,No,Seaside,Yes,Does not play music,No lighting,Not for sale,1.0.0
anchor statue,Retro,Color,NA,NA,No,Yes,No,NA,1700,NFS,1400,Brown,Gray,1x1,No,NA,NA,C.J.,Fishing Tourney (Spring); Fishing Tourney (Summer); Fishing Tourney (Fall); Fishing Tourney (Winter),Yes,501,ocean,None,None,None,None,No,Seaside,Yes,Does not play music,No lighting,Not for sale,1.0.0
angled signpost,Home,Navigation,NA,NA,Yes,Yes,No,NA,1000,NFS,600,Beige,Brown,1x1,No,NA,NA,Crafting,NA,NA,103,city life,local,None,None,None,No,Ranch,Yes,Does not play music,No lighting,Not for sale,1.0.0
angled signpost,Forest,Navigation,NA,NA,Yes,Yes,No,NA,1000,NFS,600,Beige,Brown,1x1,No,NA,NA,Crafting,NA,NA,103,city life,local,None,None,None,No,Ranch,Yes,Does not play music,No lighting,Not for sale,1.0.0
angled signpost,Fishing Spot,Navigation,NA,NA,Yes,Yes,No,NA,1000,NFS,600,Beige,Brown,1x1,No,NA,NA,Crafting,NA,NA,103,city life,local,None,None,None,No,Ranch,Yes,Does not play music,No lighting,Not for sale,1.0.0
angled signpost,Resident Services,Navigation,NA,NA,Yes,Yes,No,NA,1000,NFS,600,Beige,Brown,1x1,No,NA,NA,Crafting,NA,NA,103,city life,local,None,None,None,No,Ranch,Yes,Does not play music,No lighting,Not for sale,1.0.0
angled signpost,Airport,Navigation,NA,NA,Yes,Yes,No,NA,1000,NFS,600,Beige,Brown,1x1,No,NA,NA,Crafting,NA,NA,103,city life,local,None,None,None,No,Ranch,Yes,Does not play music,No lighting,Not for sale,1.0.0
angled signpost,Shop,Navigation,NA,NA,Yes,Yes,No,NA,1000,NFS,600,Beige,Brown,1x1,No,NA,NA,Crafting,NA,NA,103,city life,local,None,None,None,No,Ranch,Yes,Does not play music,No lighting,Not for sale,1.0.0
angled signpost,Tailors,Navigation,NA,NA,Yes,Yes,No,NA,1000,NFS,600,Beige,Brown,1x1,No,NA,NA,Crafting,NA,NA,103,city life,local,None,None,None,No,Ranch,Yes,Does not play music,No lighting,Not for sale,1.0.0
angled signpost,Museum,Navigation,NA,NA,Yes,Yes,No,NA,1000,NFS,600,Beige,Brown,1x1,No,NA,NA,Crafting,NA,NA,103,city life,local,None,None,None,No,Ranch,Yes,Does not play music,No lighting,Not for sale,1.0.0
antique bed,Brown,Color,NA,NA,No,No,No,NA,5200,28000,7000,Brown,White,2x2,No,25200,Poki,Nook's Cranny,NA,NA,251,retro,expensive,antique,None,None,Bed,Bed,No,Does not play music,No lighting,For sale,1.0.0
antique bed,Natural,Color,NA,NA,No,No,No,NA,5200,28000,7000,Beige,White,2x2,No,25200,Poki,Nook's Cranny,NA,NA,251,retro,expensive,antique,None,None,Bed,Bed,No,Does not play music,No lighting,For sale,1.0.0
antique bed,Black,Color,NA,NA,No,No,No,NA,5200,28000,7000,Black,White,2x2,No,25200,Poki,Nook's Cranny,NA,NA,251,retro,expensive,antique,None,None,Bed,Bed,No,Does not play music,No lighting,For sale,1.0.0
antique bureau,Brown,Color,NA,NA,No,No,No,NA,5200,20000,5000,Brown,Brown,1x1,No,18000,Poki,Nook's Cranny,NA,NA,251,retro,expensive,antique,None,None,Yes,Desk,No,Does not play music,No lighting,For sale,1.0.0
antique bureau,Natural,Color,NA,NA,No,No,No,NA,5200,20000,5000,Beige,Beige,1x1,No,18000,Poki,Nook's Cranny,NA,NA,251,retro,expensive,antique,None,None,Yes,Desk,No,Does not play music,No lighting,For sale,1.0.0
antique bureau,Black,Color,NA,NA,No,No,No,NA,5200,20000,5000,Black,Black,1x1,No,18000,Poki,Nook's Cranny,NA,NA,251,retro,expensive,antique,None,None,Yes,Desk,No,Does not play music,No lighting,For sale,1.0.0
antique chair,Brown,Color,NA,NA,No,No,No,NA,3100,10000,2500,Brown,White,1x1,No,9000,Poki,Nook's Cranny,NA,NA,251,retro,expensive,antique,None,None,Chair,Chair,No,Does not play music,No lighting,For sale,1.0.0
antique chair,Natural,Color,NA,NA,No,No,No,NA,3100,10000,2500,Beige,White,1x1,No,9000,Poki,Nook's Cranny,NA,NA,251,retro,expensive,antique,None,None,Chair,Chair,No,Does not play music,No lighting,For sale,1.0.0
antique chair,Black,Color,NA,NA,No,No,No,NA,3100,10000,2500,Black,White,1x1,No,9000,Poki,Nook's Cranny,NA,NA,251,retro,expensive,antique,None,None,Chair,Chair,No,Does not play music,No lighting,For sale,1.0.0
antique clock,Brown,Color,NA,NA,No,No,No,NA,5200,44000,11000,Brown,Yellow,1x1,No,39600,Poki,Nook's Cranny,NA,NA,251,retro,expensive,antique,None,Clock,Yes,Folk Craft Decor,No,Does not play music,No lighting,For sale,1.0.0
antique clock,Natural,Color,NA,NA,No,No,No,NA,5200,44000,11000,Beige,Yellow,1x1,No,39600,Poki,Nook's Cranny,NA,NA,251,retro,expensive,antique,None,Clock,Yes,Folk Craft Decor,No,Does not play music,No lighting,For sale,1.0.0
antique clock,Black,Color,NA,NA,No,No,No,NA,5200,44000,11000,Black,Yellow,1x1,No,39600,Poki,Nook's Cranny,NA,NA,251,retro,expensive,antique,None,Clock,Yes,Folk Craft Decor,No,Does not play music,No lighting,For sale,1.0.0
antique console table,Brown,Color,NA,NA,No,No,No,NA,4500,17000,4250,Brown,Brown,2x1,Yes,15300,Poki,Nook's Cranny,NA,NA,251,retro,expensive,antique,None,None,No,Table,No,Does not play music,No lighting,For sale,1.0.0
antique console table,Natural,Color,NA,NA,No,No,No,NA,4500,17000,4250,Beige,Beige,2x1,Yes,15300,Poki,Nook's Cranny,NA,NA,251,retro,expensive,antique,None,None,No,Table,No,Does not play music,No lighting,For sale,1.0.0
antique console table,Black,Color,NA,NA,No,No,No,NA,4500,17000,4250,Black,Black,2x1,Yes,15300,Poki,Nook's Cranny,NA,NA,251,retro,expensive,antique,None,None,No,Table,No,Does not play music,No lighting,For sale,1.0.0
antique mini table,Brown,Color,NA,NA,No,No,No,NA,2400,6700,1675,Brown,White,1x1,Yes,6000,Poki,Nook's Cranny,NA,NA,251,retro,expensive,antique,None,None,No,Table,No,Does not play music,No lighting,For sale,1.0.0
antique mini table,Natural,Color,NA,NA,No,No,No,NA,2400,6700,1675,Beige,White,1x1,Yes,6000,Poki,Nook's Cranny,NA,NA,251,retro,expensive,antique,None,None,No,Table,No,Does not play music,No lighting,For sale,1.0.0
antique mini table,Black,Color,NA,NA,No,No,No,NA,2400,6700,1675,Black,White,1x1,Yes,6000,Poki,Nook's Cranny,NA,NA,251,retro,expensive,antique,None,None,No,Table,No,Does not play music,No lighting,For sale,1.0.0
antique table,Brown,Color,NA,NA,No,No,No,NA,5200,25000,6250,Brown,Brown,2x2,Yes,22500,Poki,Nook's Cranny,NA,NA,251,retro,expensive,antique,None,None,No,Table,No,Does not play music,No lighting,For sale,1.0.0
antique table,Natural,Color,NA,NA,No,No,No,NA,5200,25000,6250,Beige,Beige,2x2,Yes,22500,Poki,Nook's Cranny,NA,NA,251,retro,expensive,antique,None,None,No,Table,No,Does not play music,No lighting,For sale,1.0.0
antique table,Black,Color,NA,NA,No,No,No,NA,5200,25000,6250,Black,Black,2x2,Yes,22500,Poki,Nook's Cranny,NA,NA,251,retro,expensive,antique,None,None,No,Table,No,Does not play music,No lighting,For sale,1.0.0
antique vanity,Brown,Color,NA,NA,No,No,No,NA,5200,31000,7750,Brown,Aqua,2x1,No,27900,Poki,Nook's Cranny,NA,NA,251,retro,expensive,antique,None,Dresser,Mirror,Dresser,No,Does not play music,No lighting,For sale,1.0.0
antique vanity,Natural,Color,NA,NA,No,No,No,NA,5200,31000,7750,Beige,Aqua,2x1,No,27900,Poki,Nook's Cranny,NA,NA,251,retro,expensive,antique,None,Dresser,Mirror,Dresser,No,Does not play music,No lighting,For sale,1.0.0
antique vanity,Black,Color,NA,NA,No,No,No,NA,5200,31000,7750,Black,Aqua,2x1,No,27900,Poki,Nook's Cranny,NA,NA,251,retro,expensive,antique,None,Dresser,Mirror,Dresser,No,Does not play music,No lighting,For sale,1.0.0
antique wardrobe,Brown,Color,NA,NA,No,No,No,NA,5200,37000,9250,Brown,Brown,2x1,Yes,33300,Poki,Nook's Cranny,NA,NA,251,retro,expensive,antique,None,None,Wardrobe,Chest,No,Does not play music,No lighting,For sale,1.0.0
antique wardrobe,Natural,Color,NA,NA,No,No,No,NA,5200,37000,9250,Beige,Beige,2x1,Yes,33300,Poki,Nook's Cranny,NA,NA,251,retro,expensive,antique,None,None,Wardrobe,Chest,No,Does not play music,No lighting,For sale,1.0.0
antique wardrobe,Black,Color,NA,NA,No,No,No,NA,5200,37000,9250,Black,Black,2x1,Yes,33300,Poki,Nook's Cranny,NA,NA,251,retro,expensive,antique,None,None,Wardrobe,Chest,No,Does not play music,No lighting,For sale,1.0.0
apple chair,Red apple,Fruit color,NA,NA,Yes,Yes,No,NA,3100,NFS,2480,Red,Yellow,1x1,No,NA,NA,Crafting,NA,NA,103,fancy,None,fruits,apple,None,Chair,Chair,No,Does not play music,No lighting,Not for sale,1.0.0
apple chair,Green apple,Fruit color,NA,NA,Yes,Yes,No,NA,3100,NFS,2480,Green,Yellow,1x1,No,NA,NA,Crafting,NA,NA,103,fancy,None,fruits,apple,None,Chair,Chair,No,Does not play music,No lighting,Not for sale,1.0.0
Aquarius urn,NA,NA,NA,NA,Yes,No,No,NA,NA,NFS,22125,White,Yellow,1x1,No,NA,NA,Crafting,Aquarius,Yes,301,expensive,bathroom,stars,None,None,No,Folk Craft Decor,No,Does not play music,No lighting,Not for sale,1.0.0
arcade combat game,NA,NA,NA,NA,No,No,No,NA,NA,64000,16000,White,Blue,1x1,No,57600,Poki,Nook's Cranny,NA,NA,251,arcade,shop,None,None,None,No,Toy,No,Does not play music,Monitor,For sale,1.0.0
arcade fighting game,NA,NA,NA,NA,No,No,No,NA,NA,64000,16000,White,Red,1x1,No,57600,Poki,Nook's Cranny,NA,NA,251,arcade,shop,None,None,None,No,Toy,No,Does not play music,Monitor,For sale,1.0.0
arcade mahjong game,NA,NA,NA,NA,No,No,No,NA,NA,64000,16000,White,Green,1x1,No,57600,Poki,Nook's Cranny,NA,NA,251,arcade,shop,None,None,None,No,Toy,No,Does not play music,Monitor,For sale,1.0.0
arcade seat,Red,Color,NA,NA,No,No,No,NA,1000,1300,325,Red,Gray,1x1,Yes,1200,Poki,Nook's Cranny,NA,NA,151,facility,arcade,None,None,None,Chair,Chair,No,Does not play music,No lighting,For sale,1.0.0
arcade seat,Gray,Color,NA,NA,No,No,No,NA,1000,1300,325,Gray,Gray,1x1,Yes,1200,Poki,Nook's Cranny,NA,NA,151,facility,arcade,None,None,None,Chair,Chair,No,Does not play music,No lighting,For sale,1.0.0
arcade seat,Blue,Color,NA,NA,No,No,No,NA,1000,1300,325,Blue,Gray,1x1,Yes,1200,Poki,Nook's Cranny,NA,NA,151,facility,arcade,None,None,None,Chair,Chair,No,Does not play music,No lighting,For sale,1.0.0
arched reception counter,White,Color,NA,NA,No,No,No,NA,1700,5500,1375,White,Gray,2x1,Yes,5000,Poki,Nook's Cranny; HHP Office,NA,NA,151,hospital,office,None,None,None,No,Table,No,Does not play music,No lighting,For sale,2.0.0
arched reception counter,Light wood,Color,NA,NA,No,No,No,NA,1700,5500,1375,Beige,White,2x1,Yes,5000,Poki,Nook's Cranny; HHP Office,NA,NA,151,hospital,office,None,None,None,No,Table,No,Does not play music,No lighting,For sale,2.0.0
arched reception counter,Brown stripes,Color,NA,NA,No,No,No,NA,1700,5500,1375,Brown,Black,2x1,Yes,5000,Poki,Nook's Cranny; HHP Office,NA,NA,151,hospital,office,None,None,None,No,Table,No,Does not play music,No lighting,For sale,2.0.0
arched reception counter,Brown,Color,NA,NA,No,No,No,NA,1700,5500,1375,Brown,Brown,2x1,Yes,5000,Poki,Nook's Cranny; HHP Office,NA,NA,151,hospital,office,None,None,None,No,Table,No,Does not play music,No lighting,For sale,2.0.0
arched reception counter,Blue,Color,NA,NA,No,No,No,NA,1700,5500,1375,Aqua,White,2x1,Yes,5000,Poki,Nook's Cranny; HHP Office,NA,NA,151,hospital,office,None,None,None,No,Table,No,Does not play music,No lighting,For sale,2.0.0
arched reception counter,Pink,Color,NA,NA,No,No,No,NA,1700,5500,1375,Pink,White,2x1,Yes,5000,Poki,Nook's Cranny; HHP Office,NA,NA,151,hospital,office,None,None,None,No,Table,No,Does not play music,No lighting,For sale,2.0.0
arched reception counter,White & brown,Color,NA,NA,No,No,No,NA,1700,5500,1375,Brown,White,2x1,Yes,5000,Poki,Nook's Cranny; HHP Office,NA,NA,151,hospital,office,None,None,None,No,Table,No,Does not play music,No lighting,For sale,2.0.0
arched reception counter,Beige,Color,NA,NA,No,No,No,NA,1700,5500,1375,Yellow,Gray,2x1,Yes,5000,Poki,Nook's Cranny; HHP Office,NA,NA,151,hospital,office,None,None,None,No,Table,No,Does not play music,No lighting,For sale,2.0.0
Aries rocking chair,NA,NA,NA,NA,Yes,No,No,NA,NA,NFS,12125,White,Yellow,1x1,No,NA,NA,Crafting,Aries,Yes,301,expensive,fancy,stars,None,None,Yes,Toy,No,Does not play music,No lighting,Not for sale,1.0.0
artisanal bug cage,NA,NA,NA,NA,No,No,No,NA,NA,NFS,450,Brown,Brown,2x1,No,NA,NA,Flick,Bug-Off (1); Bug-Off (2); Bug-Off (3); Bug-Off (4),Yes,501,local,nature,None,None,None,Wardrobe,Ranch,Yes,Does not play music,No lighting,Not for sale,1.0.0
artsy chair,Silver,Frame,Red,Seat color,No,No,Yes,Default,5200,23000,5750,Gray,Red,1x1,No,20700,Poki,Nook's Cranny; HHP Office,NA,NA,151,sci-fi,stylish,None,artsy,None,Chair,Chair,No,Does not play music,No lighting,For sale,2.0.0
artsy chair,Silver,Frame,Blue,Seat color,No,No,Yes,Default,5200,23000,5750,Gray,Blue,1x1,No,20700,Poki,Nook's Cranny; HHP Office,NA,NA,151,sci-fi,stylish,None,artsy,None,Chair,Chair,No,Does not play music,No lighting,For sale,2.0.0
artsy chair,Silver,Frame,Orange,Seat color,No,No,Yes,Default,5200,23000,5750,Gray,Orange,1x1,No,20700,Poki,Nook's Cranny; HHP Office,NA,NA,151,sci-fi,stylish,None,artsy,None,Chair,Chair,No,Does not play music,No lighting,For sale,2.0.0
artsy chair,Silver,Frame,Moss green,Seat color,No,No,Yes,Default,5200,23000,5750,Gray,Green,1x1,No,20700,Poki,Nook's Cranny; HHP Office,NA,NA,151,sci-fi,stylish,None,artsy,None,Chair,Chair,No,Does not play music,No lighting,For sale,2.0.0
artsy chair,Silver,Frame,Purple,Seat color,No,No,Yes,Default,5200,23000,5750,Gray,Purple,1x1,No,20700,Poki,Nook's Cranny; HHP Office,NA,NA,151,sci-fi,stylish,None,artsy,None,Chair,Chair,No,Does not play music,No lighting,For sale,2.0.0
artsy chair,Silver,Frame,White,Seat color,No,No,Yes,Default,5200,23000,5750,Gray,White,1x1,No,20700,Poki,Nook's Cranny; HHP Office,NA,NA,151,sci-fi,stylish,None,artsy,None,Chair,Chair,No,Does not play music,No lighting,For sale,2.0.0
artsy chair,Silver,Frame,Gray,Seat color,No,No,Yes,Default,5200,23000,5750,Gray,Gray,1x1,No,20700,Poki,Nook's Cranny; HHP Office,NA,NA,151,sci-fi,stylish,None,artsy,None,Chair,Chair,No,Does not play music,No lighting,For sale,2.0.0
artsy chair,Silver,Frame,Black,Seat color,No,No,Yes,Default,5200,23000,5750,Gray,Black,1x1,No,20700,Poki,Nook's Cranny; HHP Office,NA,NA,151,sci-fi,stylish,None,artsy,None,Chair,Chair,No,Does not play music,No lighting,For sale,2.0.0
artsy chair,Black,Frame,Red,Seat color,No,No,Yes,Default,5200,23000,5750,Black,Red,1x1,No,20700,Poki,Nook's Cranny; HHP Office,NA,NA,151,sci-fi,stylish,None,artsy,None,Chair,Chair,No,Does not play music,No lighting,For sale,2.0.0
artsy chair,Black,Frame,Blue,Seat color,No,No,Yes,Default,5200,23000,5750,Black,Blue,1x1,No,20700,Poki,Nook's Cranny; HHP Office,NA,NA,151,sci-fi,stylish,None,artsy,None,Chair,Chair,No,Does not play music,No lighting,For sale,2.0.0
artsy chair,Black,Frame,Orange,Seat color,No,No,Yes,Default,5200,23000,5750,Black,Orange,1x1,No,20700,Poki,Nook's Cranny; HHP Office,NA,NA,151,sci-fi,stylish,None,artsy,None,Chair,Chair,No,Does not play music,No lighting,For sale,2.0.0
artsy chair,Black,Frame,Moss green,Seat color,No,No,Yes,Default,5200,23000,5750,Black,Green,1x1,No,20700,Poki,Nook's Cranny; HHP Office,NA,NA,151,sci-fi,stylish,None,artsy,None,Chair,Chair,No,Does not play music,No lighting,For sale,2.0.0
artsy chair,Black,Frame,Purple,Seat color,No,No,Yes,Default,5200,23000,5750,Black,Purple,1x1,No,20700,Poki,Nook's Cranny; HHP Office,NA,NA,151,sci-fi,stylish,None,artsy,None,Chair,Chair,No,Does not play music,No lighting,For sale,2.0.0
artsy chair,Black,Frame,White,Seat color,No,No,Yes,Default,5200,23000,5750,Black,White,1x1,No,20700,Poki,Nook's Cranny; HHP Office,NA,NA,151,sci-fi,stylish,None,artsy,None,Chair,Chair,No,Does not play music,No lighting,For sale,2.0.0
artsy chair,Black,Frame,Gray,Seat color,No,No,Yes,Default,5200,23000,5750,Black,Gray,1x1,No,20700,Poki,Nook's Cranny; HHP Office,NA,NA,151,sci-fi,stylish,None,artsy,None,Chair,Chair,No,Does not play music,No lighting,For sale,2.0.0
